series_code,date,value,period,value_raw,year,month,mom_pct,yoy_pct,series_name,series_name_api,series_title_api,frequency,unit,theme,priority,source
PN01271PM,2021-05-01,0.266557522263624,May.2021,0.266557522263624,2021,5,,,Inflacion mensual Lima Metropolitana,Índice de precios Lima Metropolitana (var% mensual) - IPC,Índice de precios Lima Metropolitana (var% mensual),mensual,%,Inflacion,alta,BCRP
PN01271PM,2021-06-01,0.51967163414861,Jun.2021,0.51967163414861,2021,6,94.95665691049507,,Inflacion mensual Lima Metropolitana,Índice de precios Lima Metropolitana (var% mensual) - IPC,Índice de precios Lima Metropolitana (var% mensual),mensual,%,Inflacion,alta,BCRP
PN01271PM,2021-07-01,1.00753906510749,Jul.2021,1.00753906510749,2021,7,93.87994242906188,,Inflacion mensual Lima Metropolitana,Índice de precios Lima Metropolitana (var% mensual) - IPC,Índice de precios Lima Metropolitana (var% mensual),mensual,%,Inflacion,alta,BCRP
PN01271PM,2021-08-01,0.98493531236659,Ago.2021,0.98493531236659,2021,8,-2.243461670490021,,Inflacion mensual Lima Metropolitana,Índice de precios Lima Metropolitana (var% mensual) - IPC,Índice de precios Lima Metropolitana (var% mensual),mensual,%,Inflacion,alta,BCRP
PN01271PM,2021-09-01,0.40042251687241,Sep.2021,0.40042251687241,2021,9,-59.34529792517238,,Inflacion mensual Lima Metropolitana,Índice de precios Lima Metropolitana (var% mensual) - IPC,Índice de precios Lima Metropolitana (var% mensual),mensual,%,Inflacion,alta,BCRP
PN01271PM,2021-10-01,0.58366506925955,Oct.2021,0.58366506925955,2021,10,45.762299737386684,,Inflacion mensual Lima Metropolitana,Índice de precios Lima Metropolitana (var% mensual) - IPC,Índice de precios Lima Metropolitana (var% mensual),mensual,%,Inflacion,alta,BCRP
PN01271PM,2021-11-01,0.358183580426998,Nov.2021,0.358183580426998,2021,11,-38.63199987599097,,Inflacion mensual Lima Metropolitana,Índice de precios Lima Metropolitana (var% mensual) - IPC,Índice de precios Lima Metropolitana (var% mensual),mensual,%,Inflacion,alta,BCRP
PN01271PM,2021-12-01,0.782835268325123,Dic.2021,0.782835268325123,2021,12,118.55699454226487,,Inflacion mensual Lima Metropolitana,Índice de precios Lima Metropolitana (var% mensual) - IPC,Índice de precios Lima Metropolitana (var% mensual),mensual,%,Inflacion,alta,BCRP
PN01271PM,2022-01-01,0.0372679999999974,Ene.2022,0.0372679999999974,2022,1,-95.23935602956004,,Inflacion mensual Lima Metropolitana,Índice de precios Lima Metropolitana (var% mensual) - IPC,Índice de precios Lima Metropolitana (var% mensual),mensual,%,Inflacion,alta,BCRP
PN01271PM,2022-02-01,0.311455926605271,Feb.2022,0.311455926605271,2022,2,735.7194553109711,,Inflacion mensual Lima Metropolitana,Índice de precios Lima Metropolitana (var% mensual) - IPC,Índice de precios Lima Metropolitana (var% mensual),mensual,%,Inflacion,alta,BCRP
PN01271PM,2022-03-01,1.48265988924236,Mar.2022,1.48265988924236,2022,3,376.04163626060466,,Inflacion mensual Lima Metropolitana,Índice de precios Lima Metropolitana (var% mensual) - IPC,Índice de precios Lima Metropolitana (var% mensual),mensual,%,Inflacion,alta,BCRP
PN01271PM,2022-04-01,0.961893177341858,Abr.2022,0.961893177341858,2022,4,-35.12381468460808,,Inflacion mensual Lima Metropolitana,Índice de precios Lima Metropolitana (var% mensual) - IPC,Índice de precios Lima Metropolitana (var% mensual),mensual,%,Inflacion,alta,BCRP
